OMP_PLACES,OMP_PROC_BIND,PAPI_L2_DCM,PAPI_BR_INS,PAPI_SR_INS,PAGE-FAULTS
x,x,123304924,614402537,491522620,0
sockets,master,1930522,21591833,7718378,135
sockets,close,1935065,21390884,7719038,135
sockets,spread,1930274,20866458,7719184,135
cores,master,1930614,16565112,7718382,135
cores,close,1934405,21485121,7719938,135
cores,spread,1931657,19630108,7720086,135
threads,master,1884663,19296050,7718378,135
threads,close,1932200,15652596,7720904,135
threads,spread,1937013,15432429,7719172,135
